id;last_name;first_name;email;phone;vehicle;status
1;Lueilwitz;Remington;"=@#O.zUlT_";"+5335697";CAR;Human Legacy hierarchy
2;Thompson;Bonnie;"d~)@}x.Mo/$Mu";"+289949389080";CAR;Leu Savings Small
3;Gleichner;Theo;"-z@O{$.n$g-X'";"+549653466";BIKE;Executive
4;Hudson;Sid;"`F}c@[g[!.y,";"+3174";BIKE;white RSS payment
5;Becker;Ignatius;"ryXC`r@=B2+bh.(6kl";"+3056";SCOOTER;Concrete Account redefine
6;Aufderhar;Jany;"$bEj-@u{.=";"+56164694926";BIKE;Dynamic Forward
7;Hamill;Ima;"_@>1f.,";"+7486609";BIKE;Metal Fantastic Wisconsin
8;Schumm;Dominic;"QB2-&@|M.4/";"+89451718396";BIKE;Web
9;Feil;Ignatius;"`!bZsH@&.^BI1'=";"+84667";BIKE;reboot Money Savings
10;Kuphal;Aisha;";P|@UxGA._R_Y8";"+13356831766";CAR;Cambridgeshire
